"Aktivitätstyp","Dauer","Von","Bis","Kommentar"
"Arbeit","05:13","2021-11-24 13:15","2021-11-24 18:28",""
"Arbeit","03:41","2021-11-24 09:00","2021-11-24 12:41",""
"Arbeit","05:20","2021-11-23 12:45","2021-11-23 18:05",""
"Arbeit","03:13","2021-11-23 09:00","2021-11-23 12:13",""
"Arbeit","03:34","2021-11-22 11:30","2021-11-22 15:05",
"Arbeit","02:30","2021-11-16 15:00","2021-11-16 17:30",""
"Arbeit","06:15","2021-11-16 07:30","2021-11-16 13:45",""
"Arbeit","02:30","2021-11-15 11:50","2021-11-15 14:20",""
"Arbeit","03:38","2021-11-10 10:13","2021-11-10 13:51",""
"Arbeit","02:40","2021-11-10 07:00","2021-11-10 09:41",
"Arbeit","03:12","2021-11-09 14:47","2021-11-09 18:00",""
"Arbeit","04:03","2021-11-09 09:50","2021-11-09 13:53",
"Arbeit","03:23","2021-11-08 10:30","2021-11-08 13:53",""
"Arbeit","01:53","2021-11-04 09:48","2021-11-04 11:41",
"Arbeit","02:20","2021-11-03 11:06","2021-11-03 13:27",
"Arbeit","05:02","2021-11-02 10:12","2021-11-02 15:15",

"Aktivitätstyp","Dauer","%"
"Arbeit","58:31","100,00"
"Insgesamt","58:31","100,00"
