"Aktivitätstyp","Dauer","Von","Bis","Kommentar"
"Arbeit","02:49","2022-01-26 12:10","2022-01-26 15:00",""
"Arbeit","04:26","2022-01-25 13:59","2022-01-25 18:25",
"Arbeit","04:33","2022-01-25 08:27","2022-01-25 13:00",
"Arbeit","01:00","2022-01-20 16:30","2022-01-20 17:30",""
"Arbeit","05:48","2022-01-20 10:11","2022-01-20 16:00",""
"Arbeit","04:58","2022-01-19 12:40","2022-01-19 17:39",
"Arbeit","02:13","2022-01-18 15:23","2022-01-18 17:37",""
"Arbeit","05:17","2022-01-18 09:03","2022-01-18 14:20",
"Arbeit","04:06","2022-01-12 14:00","2022-01-12 18:06",""
"Arbeit","04:42","2022-01-12 08:17","2022-01-12 13:00",""
"Arbeit","04:38","2022-01-11 13:00","2022-01-11 17:38",""
"Arbeit","03:21","2022-01-11 08:38","2022-01-11 12:00",""
"Arbeit","04:55","2022-01-05 11:35","2022-01-05 16:30",
"Arbeit","01:57","2022-01-04 14:27","2022-01-04 16:24",""
"Arbeit","05:12","2022-01-04 08:41","2022-01-04 13:54",""

"Aktivitätstyp","Dauer","%"
"Arbeit","59:59","100,00"
"Insgesamt","59:59","100,00"
