"Aktivitätstyp","Dauer","Von","Bis","Kommentar"
"Arbeit","02:53","2022-02-28 07:27","2022-02-28 10:20",
"Arbeit","03:00","2022-02-25 14:03","2022-02-25 17:03",
"Arbeit","02:28","2022-02-25 11:17","2022-02-25 13:45",""
"Arbeit","03:13","2022-02-24 15:17","2022-02-24 18:30",
"Arbeit","01:57","2022-02-22 11:00","2022-02-22 12:57",""
"Arbeit","03:30","2022-02-17 14:00","2022-02-17 17:31",""
"Arbeit","02:50","2022-02-17 10:24","2022-02-17 13:15",""
"Arbeit","05:33","2022-02-15 07:03","2022-02-15 12:36",
"Arbeit","05:46","2022-02-09 12:14","2022-02-09 18:00",
"Arbeit","04:24","2022-02-08 11:30","2022-02-08 15:54",""
"Arbeit","03:49","2022-02-02 13:43","2022-02-02 17:32",
"Arbeit","01:30","2022-02-02 11:56","2022-02-02 13:26",
"Arbeit","02:23","2022-02-01 16:01","2022-02-01 18:25",
"Arbeit","02:33","2022-02-01 10:23","2022-02-01 12:57",

"Aktivitätstyp","Dauer","%"
"Arbeit","45:53","100,00"
"Insgesamt","45:53","100,00"
